rank,team,mean_position,ap_mean,ap_mean_position,ap50_mean,ap50_mean_position,ap75_mean,ap75_mean_position,ar_mean,ar_mean_position,ap_quadrant,ap_quadrant_position,ap50_quadrant,ap50_quadrant_position,ap75_quadrant,ap75_quadrant_position,ar_quadrant,ar_quadrant_position,ap_enumeration,ap_enumeration_position,ap50_enumeration,ap50_enumeration_position,ap75_enumeration,ap75_enumeration_position,ar_enumeration,ar_enumeration_position,ap_diagnosis,ap_diagnosis_position,ap50_diagnosis,ap50_diagnosis_position,ap75_diagnosis,ap75_diagnosis_position,ar_diagnosis,ar_diagnosis_position
1,sjtu-seiee-426,3.0,0.3995,1.0,0.5775,5.0,0.4843,1.0,0.676,4.0,0.4745,1.0,0.6787,3.0,0.5846,1.0,0.7539,4.0,0.3535,1.0,0.5106,1.0,0.4207,1.0,0.6819,4.0,0.3706,5.0,0.5431,7.0,0.4477,5.0,0.676,4.0
2,Chohotech,3.12,0.3917,2.0,0.584,1.0,0.4793,2.0,0.6571,5.0,0.466,2.0,0.6841,1.0,0.576,2.0,0.7257,7.0,0.3348,2.0,0.5007,2.0,0.4071,2.0,0.6483,6.0,0.3744,3.0,0.5672,5.0,0.455,3.0,0.6571,5.0
3,Chohotech,4.5,0.3875,3.0,0.5633,7.0,0.44,7.0,0.747,1.0,0.4647,3.0,0.6787,3.0,0.5739,3.0,0.7276,6.0,0.3259,4.0,0.4832,4.0,0.3857,3.0,0.6373,7.0,0.3718,4.0,0.5591,6.0,0.4514,4.0,0.6504,7.0
4,Ai-Align,5.31,0.3828,4.0,0.5737,6.0,0.4703,3.0,0.6504,7.0,0.4416,6.0,0.6648,6.0,0.5373,6.0,0.7156,9.0,0.3138,5.0,0.4754,6.0,0.3816,5.0,0.5875,9.0,0.3929,1.0,0.6053,1.0,0.4717,1.0,0.6427,10.0
5,Ai-Align,5.38,0.3821,5.0,0.5818,3.0,0.4635,4.0,0.6427,10.0,0.4455,5.0,0.6712,5.0,0.5427,5.0,0.7187,8.0,0.308,6.0,0.467,7.0,0.3746,6.0,0.585,10.0,0.3929,1.0,0.6053,1.0,0.4717,1.0,0.6429,9.0
6,sdent,5.5,0.3685,7.0,0.5812,4.0,0.463,5.0,0.6429,9.0,0.4329,7.0,0.6503,8.0,0.5238,7.0,0.7839,1.0,0.3077,7.0,0.4664,8.0,0.3677,7.0,0.6985,1.0,0.3649,6.0,0.5731,4.0,0.4285,6.0,0.747,1.0
7,sjtu-seiee-426,5.81,0.3757,6.0,0.5499,8.0,0.452,6.0,0.6538,6.0,0.4576,4.0,0.6616,7.0,0.5612,4.0,0.7464,5.0,0.3267,3.0,0.48,5.0,0.3831,4.0,0.6711,5.0,0.3429,7.0,0.508,10.0,0.4117,7.0,0.6538,6.0
8,huikai,6.81,0.3471,8.0,0.5825,2.0,0.4006,8.0,0.6441,8.0,0.4151,8.0,0.6805,2.0,0.491,8.0,0.6833,10.0,0.2932,8.0,0.4896,3.0,0.3471,8.0,0.603,8.0,0.3331,8.0,0.5774,3.0,0.3636,9.0,0.6441,8.0
9,Alzkflwnrdj,7.5,0.3308,10.0,0.523,10.0,0.385,9.0,0.7292,2.0,0.3996,10.0,0.6241,10.0,0.4648,10.0,0.771,2.0,0.2738,10.0,0.4311,9.0,0.3243,9.0,0.6896,2.0,0.3191,9.0,0.5139,8.0,0.366,8.0,0.7292,2.0
10,LiJie,7.81,0.3332,9.0,0.5235,9.0,0.3841,10.0,0.7273,3.0,0.4048,9.0,0.6282,9.0,0.4707,9.0,0.7698,3.0,0.2766,9.0,0.4286,10.0,0.3188,10.0,0.6886,3.0,0.3181,10.0,0.5137,9.0,0.3626,10.0,0.7273,3.0
