rank,team,mean_position,dice,dice_position,lesion_f1,lesion_f1_position,lesion_count_diff,lesion_count_diff_position,abs_volume_diff,abs_volume_diff_position
1,PAT,3.5,0.7852,2.0,0.8196,2.0,2.12,4.0,5.0713,6.0
2,PAT,4.75,0.7799,6.0,0.8043,10.0,2.0733,2.0,4.6982,1.0
3,PAT,4.75,0.7869,1.0,0.8246,1.0,2.2867,10.0,5.1006,7.0
4,PAT,5.0,0.7825,3.0,0.8161,3.0,2.14,5.0,5.5448,9.0
5,PAT,5.0,0.7818,4.0,0.8125,5.0,2.0667,1.0,5.792,10.0
6,PAT,5.75,0.781,5.0,0.8063,8.0,2.2,8.0,4.7509,2.0
7,PAT,6.25,0.7793,7.0,0.8103,7.0,2.1,3.0,5.1486,8.0
8,PAT,6.5,0.7777,9.0,0.8113,6.0,2.1533,6.0,4.912,5.0
9,PAT,6.75,0.7778,8.0,0.805,9.0,2.1867,7.0,4.8093,3.0
10,PAT,6.75,0.7758,10.0,0.8133,4.0,2.2733,9.0,4.8111,4.0
