rank,team,mean_position,dsc,dsc_position,msd,msd_position,hd95,hd95_position,masd,masd_position,rmse,rmse_position
1,MIC-DKFZ,1.0,0.7265,1.0,0.9204,1.0,8.5993,1.0,1.673,1.0,9338.0637,1.0
2,SpaceCY,4.0,0.6586,5.0,0.8653,3.0,10.9263,2.0,2.2711,2.0,13994.4311,8.0
3,sjtu_lab426,4.0,0.6863,2.0,0.8861,2.0,41.7367,7.0,35.3894,7.0,11829.1699,2.0
4,ntua,4.6,0.6744,3.0,0.8572,5.0,12.3546,3.0,2.4296,3.0,14195.0881,9.0
5,amparobt9,5.0,0.6616,4.0,0.862,4.0,16.8751,6.0,3.9667,6.0,12611.0839,5.0
6,Blue Devils,5.8,0.6047,10.0,0.8424,6.0,12.4084,4.0,2.7267,5.0,12607.4231,4.0
7,DeepLearnAI,7.0,0.6563,6.0,0.8324,8.0,53.8039,8.0,39.7192,10.0,12127.9388,3.0
8,bulab,7.0,0.6259,9.0,0.8341,7.0,12.5297,5.0,2.519,4.0,14846.3593,10.0
9,amparobt9,7.8,0.642,7.0,0.805,9.0,59.8934,9.0,38.44,8.0,12648.2161,6.0
10,LiboZhang,8.0,0.642,7.0,0.805,9.0,59.8934,9.0,38.44,8.0,12648.9971,7.0
