rank,team,mean_position,dice,dice_position,cldice,cldice_position,b0_error,b0_error_position,hd95,hd95_position,neighbor_error,neighbor_error_position,f1_side_road,f1_side_road_position
1,Organizers-UZH,1.33,0.791,1.0,0.833,1.0,0.768,2.0,19.777,2.0,0.0,1.0,0.678,1.0
2,ARG,2.0,0.731,2.0,0.804,3.0,0.624,1.0,21.606,3.0,0.0,1.0,0.664,2.0
3,KPopDemonHunters,3.17,0.71,3.0,0.809,2.0,1.464,5.0,23.649,4.0,0.0,1.0,0.581,4.0
4,Hasna,4.0,0.694,4.0,0.768,4.0,1.007,3.0,25.423,5.0,0.044,5.0,0.62,3.0
5,Organizers-IMR,4.17,0.621,5.0,0.742,5.0,1.35,4.0,19.595,1.0,0.003,4.0,0.531,6.0
6,Refrain,6.5,0.614,6.0,0.679,6.0,2.778,9.0,47.139,6.0,0.194,7.0,0.58,5.0
7,VdHi,7.67,0.483,8.0,0.539,8.0,1.94,6.0,63.882,8.0,0.266,8.0,0.438,8.0
8,ne_gi_chi__,8.0,0.478,9.0,0.539,8.0,2.41,8.0,52.918,7.0,0.435,9.0,0.478,7.0
9,UTRad,8.67,0.558,7.0,0.589,7.0,11.838,10.0,67.566,9.0,3.94,10.0,0.4,9.0
10,U&E,8.83,0.436,10.0,0.499,10.0,2.104,7.0,80.217,10.0,0.089,6.0,0.226,10.0
